combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
8,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,17,1,0,64,1.031.656,1.006.214,205.149,7.820,268.639,20.611,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,28,1,0,64,996.399,1.028.213,209.006,8.065,274.376,18.540,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,512,xdpdrv,0.0.0.255,60,1,20,1,0,64,937.345,1.008.885,205.308,7.975,269.404,20.016,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,0,68,1,0,64,1.675.657,1.011.812,205.807,7.854,269.669,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,19,1,0,64,930.460,1.011.177,205.666,8.125,269.773,21.161,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,26,1,0,63,991.200,1.010.750,205.097,8.070,269.793,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1.001.308,1.035.999,210.539,7.776,277.170,20.170,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,1024,xdpdrv,0.0.0.255,60,1,19,1,0,63,931.462,1.000.746,203.195,7.984,266.857,15.034,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,0,88,1,0,64,1.299.869,1.025.674,208.761,7.813,274.100,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,1500,xdpdrv,0.0.0.255,60,1,18,1,0,64,918.428,1.027.283,208.896,7.872,274.375,20.456,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,512,xdpdrv,0.0.0.255,60,1,21,1,0,65,948.549,1.026.115,208.327,8.184,273.912,22.982,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,26,1,0,63,991.655,1.012.968,205.551,7.788,270.458,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,1500,xdpdrv,0.0.0.255,60,0,91,1,0,63,1.110.897,1.004.093,204.425,7.761,268.078,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,256,xdpdrv,0.0.0.255,60,0,65,1,0,65,1.595.217,1.043.417,212.265,7.974,279.029,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,64,xdpgeneric,0.0.0.255,60,0,80,1,0,63,1.979.011,1.025.064,208.189,8.137,273.521,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,256,xdpdrv,0.0.0.255,60,1,18,1,0,64,918.086,1.022.302,207.828,7.363,272.800,21.732,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,0,60,1,0,63,1.466.307,1.008.528,205.012,7.920,269.430,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,22,1,0,63,954.162,1.004.772,204.692,7.786,267.885,19.674,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
